statement_id,statement_text,is_country_specific
1,Social programs should be maintained even at the cost of higher taxes,False
2,The state should provide stronger financial support to unemployed workers,False
3,Government spending should be reduced in order to lower taxes,False
4,Taxation on the wealthiest part of the population should be increased,False
5,Retirement age should be raised in order to make the pension system more sustainable,False
6,The state should intervene directly to control the rising prices of basic commodities,False
7,The legalisation of same sex marriages is a good thing,False
8,The legalisation of the personal use of soft drugs is to be welcomed,False
9,Immigrants from outside Europe should be required to accept our culture and values,False
10,Access to abortion should become more restricted,False
11,Immigration into EU Member States should be made more restrictive,True
12,Gender quotas (a minimum share of positions to be filled by women) are to be welcomed,False
13,The promotion of public transport should be fostered through green taxes (e.g. road taxing),False
14,Renewable sources of energy (e.g. solar or wind energy) should be supported even if this means higher energy costs,False
15,All foreigners legally residing in EU Member States should receive the same social security benefits as nationals,True
16,Criminals should be punished more severely,False
17,The EU should rigorously punish Member States that violate the EU deficit rules,False
18,The EU should acquire its own tax raising powers,False
19,The EU should strenghten the regulation of Artificial Intelligence technology even if this means slowing down innovation,False
20,The single European currency (Euro) is a bad thing,False
21,The EU should provide financial assistance to member states in economic and financial difficulties,False
22,The EU should protect European farmers from external competition even if this leads to higher food prices,False
23,On foreign policy issues the EU should speak with one voice,False
24,Asylum-seekers should be distributed proportionally among EU Member States through a mandatory relocation system,False
25,The European Union should strengthen its security and defence policy,False
26,"To fight the problem of illegal immigration, the European Union should take responsibility in patrolling its borders",False
27,"As planned in the European Green Deal, there should be a Europe-wide ban on selling internal combustion engine vehicles by 2035",False
28,"The European Union should continue providing military aid, such as weapons and ammunition, to Ukraine",False
29,The European Parliament should be given more powers,False
30,European integration is a good thing,False
31,Individual member states of the EU should have less veto power,False
32,The European Union should be enlarged to include Ukraine,False
33,The EU should sanction member states whose governments undermine the rule of law,False
34,EU Member States should support a two-state solution in the Palestinian-Israeli conflict,True
35,"In case of a pandemic, limiting its diffusion should be the priority even if it comes with economic losses",False
36,EU Member States should increase military spending,True
